epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8659.65,1.0085,0.94063,1.15321,0.77353,0.69688,0.74147,0.51361,1.1281,1.1037,1.28219,0.000246313,0.000246313,0.000246313
43,8853.51,1.00048,0.92665,1.15153,0.79367,0.67822,0.73694,0.51385,1.12828,1.12161,1.27104,0.000240125,0.000240125,0.000240125
44,9041.61,0.98887,0.91763,1.14331,0.78359,0.70309,0.74657,0.51362,1.1259,1.07355,1.27998,0.000233938,0.000233938,0.000233938
45,9229.44,0.99693,0.91481,1.14647,0.77015,0.70057,0.74508,0.51785,1.12162,1.07005,1.27249,0.00022775,0.00022775,0.00022775
46,9426.11,0.98243,0.90207,1.1398,0.77297,0.69831,0.74402,0.51435,1.13085,1.07059,1.27582,0.000221562,0.000221562,0.000221562
47,9625.33,0.97679,0.89291,1.13478,0.78687,0.68752,0.75043,0.51827,1.12176,1.0619,1.26522,0.000215375,0.000215375,0.000215375
48,9822.47,0.97511,0.89385,1.1348,0.78158,0.7046,0.74899,0.52371,1.10895,1.06169,1.26111,0.000209188,0.000209188,0.000209188
49,10013,0.97665,0.8878,1.13652,0.77945,0.70382,0.74995,0.51748,1.11084,1.05449,1.26222,0.000203,0.000203,0.000203
50,10205.7,0.96169,0.87813,1.12582,0.78421,0.71513,0.75586,0.5311,1.09672,1.0387,1.25165,0.000196812,0.000196812,0.000196812
51,10403,0.96707,0.88077,1.1331,0.78777,0.71417,0.75751,0.52927,1.10362,1.04663,1.26071,0.000190625,0.000190625,0.000190625
52,10602.3,0.95992,0.86216,1.12619,0.79331,0.69482,0.75638,0.52498,1.10009,1.05129,1.25579,0.000184438,0.000184438,0.000184438
53,10812.2,0.94989,0.86294,1.1197,0.80651,0.69447,0.7577,0.52524,1.10322,1.0471,1.25637,0.00017825,0.00017825,0.00017825
54,11007,0.95168,0.85571,1.12102,0.79308,0.70433,0.75426,0.52611,1.0954,1.05404,1.24512,0.000172063,0.000172063,0.000172063
55,11204.4,0.94703,0.84808,1.11796,0.78061,0.70049,0.75187,0.52868,1.09789,1.05305,1.24767,0.000165875,0.000165875,0.000165875
56,11402.1,0.94497,0.84906,1.11712,0.79388,0.69323,0.75014,0.52389,1.09903,1.06097,1.25133,0.000159688,0.000159688,0.000159688
57,11599.3,0.9432,0.83834,1.11755,0.79494,0.71239,0.75979,0.52922,1.09396,1.05032,1.24215,0.0001535,0.0001535,0.0001535
58,11798,0.93577,0.82959,1.11143,0.80546,0.70683,0.76029,0.53164,1.09562,1.03461,1.25259,0.000147312,0.000147312,0.000147312
59,11994.5,0.9315,0.83166,1.10795,0.79501,0.71033,0.75792,0.52939,1.09517,1.03999,1.24881,0.000141125,0.000141125,0.000141125
60,12194.6,0.92859,0.82462,1.10562,0.8023,0.70486,0.75885,0.53087,1.09306,1.03187,1.24971,0.000134937,0.000134937,0.000134937
61,12389.7,0.92068,0.81824,1.10531,0.80738,0.69617,0.75511,0.52747,1.09237,1.03991,1.25185,0.00012875,0.00012875,0.00012875
62,12586.9,0.92294,0.81569,1.10512,0.80016,0.69827,0.75555,0.53185,1.09123,1.0381,1.24685,0.000122563,0.000122563,0.000122563
63,12786.4,0.92335,0.812,1.10591,0.78894,0.70415,0.75896,0.53379,1.09203,1.04051,1.24914,0.000116375,0.000116375,0.000116375
64,12986,0.91453,0.80617,1.10169,0.81352,0.69199,0.7598,0.53495,1.08672,1.02292,1.24571,0.000110188,0.000110188,0.000110188
65,13183.7,0.90769,0.80055,1.09443,0.80172,0.69833,0.75912,0.53625,1.08871,1.02322,1.25046,0.000104,0.000104,0.000104
66,13388.3,0.90594,0.7891,1.09565,0.79386,0.70635,0.7599,0.53495,1.08773,1.02909,1.25375,9.78125e-05,9.78125e-05,9.78125e-05
67,13588.8,0.9034,0.79302,1.09314,0.8026,0.69772,0.75978,0.53584,1.07839,1.03013,1.24453,9.1625e-05,9.1625e-05,9.1625e-05
68,13788.2,0.89724,0.78355,1.09015,0.7982,0.69937,0.75819,0.53585,1.08241,1.02306,1.24623,8.54375e-05,8.54375e-05,8.54375e-05
